21:19:02.991565 config: drop-rate=0.00, max-delay=0s, seed=1510280342989565800
21:19:02.992566 router is listening at :3000
21:19:57.227668 [queue=0] packet #1, 127.0.0.1:59861 -> 127.0.0.1:8007, sz=11 is delivered
21:20:07.264242 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59861, sz=11 is delivered
21:20:13.320588 config: drop-rate=0.00, max-delay=0s, seed=1510280413320588500
21:20:13.321588 router is listening at :3000
21:20:17.638835 [queue=0] packet #1, 127.0.0.1:59862 -> 127.0.0.1:8007, sz=11 is delivered
21:20:17.639835 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59862, sz=11 is delivered
21:21:07.767702 [queue=0] packet #1, 127.0.0.1:59870 -> 127.0.0.1:8007, sz=11 is delivered
21:21:07.767702 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59870, sz=11 is delivered
21:21:07.948713 [queue=0] packet #1, 127.0.0.1:59871 -> 127.0.0.1:8007, sz=11 is delivered
21:21:07.948713 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59871, sz=11 is delivered
21:48:41.808207 config: drop-rate=0.00, max-delay=0s, seed=1510541321808207400
21:48:41.823807 router is listening at :3000
22:01:28.870428 config: drop-rate=0.00, max-delay=0s, seed=1510542088870428800
22:01:28.871428 router is listening at :3000
07:09:41.825306 config: drop-rate=0.00, max-delay=0s, seed=1510574981825306400
07:09:41.843307 router is listening at :3000
07:12:58.501555 config: drop-rate=0.00, max-delay=0s, seed=1510575178501555600
07:12:58.501555 router is listening at :3000
07:35:19.519394 config: drop-rate=0.00, max-delay=0s, seed=1510576519519394300
07:35:19.534994 router is listening at :3000
07:37:02.690493 [queue=0] packet #1, 192.168.1.100:59497 -> 192.168.1.100:8080, sz=71 is delivered
07:37:22.074602 [queue=0] packet #1, 192.168.1.100:53424 -> 192.168.1.100:8080, sz=71 is delivered
07:37:56.187553 [queue=0] packet #1, 192.168.1.100:53433 -> 192.168.1.100:8080, sz=71 is delivered
07:38:20.559947 [queue=0] packet #1, 192.168.1.100:53440 -> 192.168.1.100:8080, sz=71 is delivered
07:39:20.284363 [queue=0] packet #1, 192.168.1.100:53456 -> 192.168.1.100:8080, sz=71 is delivered
07:40:24.042010 [queue=0] packet #1, 192.168.1.100:56505 -> 192.168.1.100:8080, sz=71 is delivered
07:40:42.631073 [queue=0] packet #1, 192.168.1.100:56511 -> 192.168.1.100:8080, sz=71 is delivered
07:58:34.696392 [queue=0] packet #1, 192.168.1.100:63301 -> 192.168.1.100:8080, sz=71 is delivered
08:00:19.835405 [queue=0] packet #1, 192.168.1.100:65238 -> 192.168.1.100:8080, sz=71 is delivered
08:01:45.280292 [queue=0] packet #1, 192.168.1.100:65261 -> 192.168.1.100:8080, sz=71 is delivered
08:01:45.292293 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=548 is delivered
08:01:45.295293 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=548 is delivered
08:01:45.305294 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.308294 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
